	Systematic.name	cluster	cluster.size	coord
K13789	K13789	2	117	-0.0233671213249319
K16264	K16264	2	117	-0.0141508382495852
K19002	K19002	2	117	-0.0145820110748775
K00033	K00033	2	117	-0.0166444845823016
K00036	K00036	2	117	-0.0204997061555648
K00054	K00054	2	117	-0.023589825720186
K00057	K00057	2	117	-0.0119892566859569
K00244	K00244	2	117	-0.0327890815846092
K00571	K00571	2	117	-0.0290532993190093
K00604	K00604	2	117	-0.0135894153224047
K00691	K00691	2	117	-0.0175032970563528
K00759	K00759	2	117	-0.0103055142700709
K00784	K00784	2	117	-0.0167448787129815
K00850	K00850	2	117	-0.0149001585332092
K00867	K00867	2	117	-0.0185896252895826
K00943	K00943	2	117	-0.0163575663153287
K00963	K00963	2	117	-0.0175274655617468
K00981	K00981	2	117	-0.0125588577517642
K00997	K00997	2	117	-0.0152309830314399
K01179	K01179	2	117	-0.0201780166694355
K01215	K01215	2	117	-0.0256217203820014
K01515	K01515	2	117	-0.0147175550489219
K01624	K01624	2	117	-0.0120321198156443
K01934	K01934	2	117	-0.0180615733295484
K02110	K02110	2	117	-0.0170282756840446
K02313	K02313	2	117	-0.0113041450405006
K02904	K02904	2	117	-0.0153090035627542
K03151	K03151	2	117	-0.0163034296395359
K03595	K03595	2	117	-0.0123404967356562
K03697	K03697	2	117	-0.0194590093914988
K06198	K06198	2	117	-0.0201621641753152
K06889	K06889	2	117	-0.0241374022702973
K01552	K01552	3	22	-0.0539596902274095
K02042	K02042	3	22	-0.0569107632791789
K02044	K02044	3	22	-0.0548218905687876
K02621	K02621	3	22	-0.0479566355426822
K03488	K03488	3	22	-0.0530284516532864
K03492	K03492	3	22	-0.0506828392044924
K03589	K03589	3	22	-0.0562248908086287
K03734	K03734	3	22	-0.0581544642962722
K06286	K06286	3	22	-0.058810477594476
K08724	K08724	3	22	-0.0578732899191362
K09809	K09809	3	22	-0.0574037765080991
K09963	K09963	3	22	-0.0549552534540879
K14982	K14982	3	22	-0.0505027660968719
K18891	K18891	3	22	-0.0515819311830596
K01788	K01788	3	22	-0.0480926966566763
K07305	K07305	3	22	-0.0438688000303212
K02622	K02622	3	22	-0.0414064920024115
K03790	K03790	3	22	-0.0385261782180437
K03724	K03724	3	22	-0.0526724704623443
K05340	K05340	3	22	-0.0522161120667228
K00158	K00158	3	22	-0.0601216520936244
K02041	K02041	3	22	-0.0485019612366639
K00162	K00162	4	2	0.0145343933662632
K00161	K00161	4	2	0.0168643360123731
K01714	K01714	5	2	0.0154501643220479
K00215	K00215	5	2	0.015570002984
K16169	K16169	6	2	-0.0103467097827446
K00364	K00364	6	2	-0.0155346972632452
K03647	K03647	7	2	-0.0328868532137785
K00526	K00526	7	2	-0.0264866786527789
K01465	K01465	8	2	-0.0100846297145338
K00609	K00609	8	2	-0.00714520490302408
K01478	K01478	9	2	-0.00561713819153296
K00611	K00611	9	2	-0.00895922871348299
K00969	K00969	10	3	-0.0118031043648219
K01090	K01090	10	3	-0.00973399995452906
K00763	K00763	10	3	-0.0132426285607718
K11752	K11752	11	4	-0.00831329440991053
K14652	K14652	11	4	-0.00193010020464011
K00793	K00793	11	4	-0.00868694088452438
K00794	K00794	11	4	0.00173690367781655
K00950	K00950	12	5	0.00756715924554121
K01495	K01495	12	5	0.00911857967388178
K03587	K03587	12	5	0.0156639105989254
K00796	K00796	12	5	0.00925624040734331
K01251	K01251	12	5	0.0144246530821407
K01597	K01597	13	2	-0.0122898718365734
K00869	K00869	13	2	-0.0115566200736635
K02926	K02926	14	13	-0.00902026279980021
K03040	K03040	14	13	-0.00798595313152156
K03424	K03424	14	13	-0.00763246402769563
K02874	K02874	14	13	-0.0106589988264909
K02878	K02878	14	13	-0.0105516771970105
K02982	K02982	14	13	-0.00907027655556434
K02988	K02988	14	13	-0.00829359094506157
K05592	K05592	14	13	-0.00913301859492823
K03723	K03723	14	13	-0.0090900720763102
K00939	K00939	14	13	-0.00960341654725355
K02520	K02520	14	13	-0.00795120047421035
K02871	K02871	14	13	-0.0102535963851205
K03572	K03572	14	13	-0.00957473189947109
K01885	K01885	15	4	-0.00993390631330159
K02945	K02945	15	4	-0.00937071336741161
K06207	K06207	15	4	-0.00968797328531801
K00948	K00948	15	4	-0.00978081742098824
K01420	K01420	16	2	-0.0459428024750066
K00996	K00996	16	2	-0.0492031948447984
K02787	K02787	17	2	-0.00728140029910303
K01220	K01220	17	2	-0.00813092320695743
K02761	K02761	18	2	-0.027650849864921
K01223	K01223	18	2	-0.0254026679645937
K03481	K03481	19	3	-0.0180786062054574
K01232	K01232	19	3	-0.0143738548609522
K02777	K02777	19	3	-0.0232651758054137
K02068	K02068	20	2	-0.0333132921009652
K01246	K01246	20	2	-0.0328394767044357
K03431	K03431	21	4	-0.0116603014468547
K05896	K05896	21	4	-0.010619499030124
K05985	K05985	21	4	-0.0119822136669645
K01304	K01304	21	4	-0.0124305543091928
K14742	K14742	22	3	-0.0249875474311857
K01409	K01409	22	3	-0.0218514777165079
K04094	K04094	22	3	-0.0260926768552146
K06075	K06075	23	2	0.03894711402581
K01417	K01417	23	2	0.0357210772511143
K02750	K02750	24	4	-0.0561631584104852
K10530	K10530	24	4	-0.057877004634994
K14588	K14588	24	4	-0.0567221779877233
K01535	K01535	24	4	-0.0513728685408566
K01819	K01819	25	3	0.00469911723939885
K02530	K02530	25	3	0.00729964646843904
K01635	K01635	25	3	0.00625078053059385
K02563	K02563	26	7	-0.00677174852913128
K03497	K03497	26	7	-0.00754524516172528
K03531	K03531	26	7	-0.00760493974438802
K04567	K04567	26	7	-0.00809587730722768
K06942	K06942	26	7	-0.00813012454405531
K01925	K01925	26	7	-0.00632864300587978
K02314	K02314	26	7	-0.00760735285523321
K03590	K03590	27	6	-0.00961647700731677
K06949	K06949	27	6	-0.0093835827638401
K07447	K07447	27	6	-0.00824058960375927
K11991	K11991	27	6	-0.0103562750288102
K01929	K01929	27	6	-0.00959834233925297
K03466	K03466	27	6	-0.00800269444920358
K02037	K02037	28	4	-0.0255392107123113
K02038	K02038	28	4	-0.0298829502037662
K02040	K02040	28	4	-0.0224852015526079
K02036	K02036	28	4	-0.0316899689206312
K02433	K02433	29	4	-0.00906479817395165
K02434	K02434	29	4	-0.0111574764392037
K03979	K03979	29	4	-0.00981444857153214
K02108	K02108	29	4	-0.00927416972771787
K02118	K02118	30	3	0.0364949961495355
K02123	K02123	30	3	0.0358288342352456
K02117	K02117	30	3	0.035998513413588
K02760	K02760	31	2	-0.0352400467224872
K02759	K02759	31	2	-0.0265383348682216
K02990	K02990	32	2	-0.00715298874212176
K02907	K02907	32	2	-0.00808508670182865
K02933	K02933	33	3	-0.00830907713712166
K03545	K03545	33	3	-0.00774310888078766
K02931	K02931	33	3	-0.00910119164937961
K09710	K09710	34	2	-0.00875991457144528
K03100	K03100	34	2	-0.00857487077900599
K03621	K03621	35	3	-0.0204941050769332
K03739	K03739	35	3	-0.0244051272502823
K03500	K03500	35	3	-0.0203625562000808
K03702	K03702	36	2	-0.00774710841312668
K03701	K03701	36	2	-0.0078349201156038
K06948	K06948	37	2	-0.0346627513843627
K03722	K03722	37	2	-0.0364609189815381
K07082	K07082	38	2	0.013426288125655
K03797	K03797	38	2	0.0164582833049854
K05879	K05879	39	2	0.00294874740724013
K05878	K05878	39	2	0.00668183837752399
K07657	K07657	40	2	-0.00999332783155386
K07636	K07636	40	2	-0.00630370128311383
K07707	K07707	41	2	-0.0398423728944997
K07706	K07706	41	2	-0.0409067070279909
K16787	K16787	42	2	-0.0134948428586358
K16786	K16786	42	2	-0.0134519829768561
