	001A	001B	002B	003A	004B	006A	006B	008A	008B	009A	009B	010A	010B	012A	012B	013A	013B	014B	015B	016B	017B	018B	019A	020B	27S	30S	31S	4S
K00645	15	23	83	869	12	2136	18	1683	120	2336	9	8369	9	1106	3301	3279	1420	5404	206	1441	8539	4530	376	9	2837	11	682	11
K00647	1	1	0	0	0	1	0	4	0	2	0	1	2	1	1	1	0	34	0	0	0	0	2	0	0	0	0	0
K00648	18	115	55	1451	18	9132	20	1683	430	2613	12	7018	19	7049	2769	2228	1047	4298	1432	1520	10384	4484	1069	12	7193	19	1739	16
K00651	14	14	36	544	7	195	3	808	9	247	10	475	6	133	400	196	136	630	83	545	1077	831	83	12	394	135	145	128
K00652	3	127	4	77	1	44	1	48	2	7	74	15	44	22	2	11	4	80	1	33	11	19	44	1	2	1	1	1
K00655	861	482	754	2068	1065	263	363	1797	1389	706	526	806	197	436	1034	817	20	1948	89	1066	2515	2146	608	181	989	453	387	585
K00656	812	380	210	35406	174	57426	249	53985	2163	114155	136	57864	164	93869	80144	26428	24439	41105	443	57752	83855	54011	1102	138	31326	88	59421	85
K00657	2	3	17	1139	3	140	2	174	33	105	4	1194	2	133	876	354	3	270	28	704	4433	1391	44	5	1369	3	101	3
K00658	0	1	0	1	0	7	2	1	0	0	0	6	3	3	0	0	0	4	0	1	0	1	0	1	0	0	0	0
K00661	305	3025	105	6	13	8	24	14	222	52	1289	11	1084	64	39	11	5	7	24	2	36	16	291	6	12	639	275	1486
K00666	0	1	0	0	0	8	0	0	0	0	1	1	0	0	0	0	1	2	0	0	0	0	0	0	1	1	0	0
K00673	0	0	1	0	0	2	0	0	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00674	36	2	13	6	1	742	1	19	10	2007	5	94	4	1615	181	152	1	126	7	54	297	30	5	2	2	2	1246	3
K00677	21	13	23	1218	12	1820	10	2855	70	1717	12	2928	10	1113	2661	1800	3821	3797	329	1974	6535	2509	289	7	1413	5	750	4
K00680	6	186	9	1	3	2	1	1	3	1	140	3	81	1	1	1	1	1	1	1	1	1	6	544	1	188	24	278
K00681	1	0	1	0	0	20	0	1	2	16	0	3	0	27	1	2	0	1	0	2	10	2	0	0	1	0	1	0
K00683	3	3	4	62	1	212	3	281	17	643	2	1534	3	86	519	652	4	1430	54	154	2169	956	7	3	755	1	132	1
K00684	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K00687	0	0	0	0	0	5	0	1	0	6	0	3	0	1	0	2	0	2	41	0	12	3	0	0	0	0	0	0
K00688	242	68	75	3995	25	4432	30	6024	2739	5643	22	8745	21	2500	5595	4574	120	7925	831	2377	16850	9358	216	27	15163	13	3321	12
K00690	1	477	9	6	98	7	1	2	2	2	285	1	357	1	1	1	1	1	4	3	2	1	45	90	1	451	5	417
K00691	14909	20451	38219	34773	41399	185	19952	34235	10163	19700	6643	934	9950	22673	11185	24909	104	23424	105	40506	10555	1466	41215	12612	13909	17269	16303	15617
K00697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
K00700	297	54	80	6230	25	1052	29	13973	4692	1266	23	9684	23	1354	8585	2110	27	5037	143	8370	22382	12424	395	26	1701	10	3394	10
K00703	5	2	3	2	2	232	1	8	14	350	1	89	2	175	34	42	28	48	16	19	55	20	7	2	9	5	114	6
K00705	285	48	69	3425	23	4856	28	8535	2177	5909	17	11788	23	4573	7851	4389	103	6562	859	5288	20816	11829	367	27	2699	7	2381	8
K00712	1	2	2	4	14	9	2	3	14	12	18	8	2	3	2	6	2	6	19	3	7	5	12	15	22	25	20	17
K00743	18	1663	85	5	11	2	1	4	21	1	736	0	535	3	2	3	1	2	1	4	2	0	194	1554	3	635	162	1350
K00745	7	26	11	212	164	861	6	690	16	412	5	1023	6	258	377	453	435	1209	105	337	2178	743	16	3	250	20	267	3
K00748	2	10	5	254	4	319	3	397	12	235	2	498	6	186	413	333	479	483	68	288	1075	421	75	4	301	2	205	2
K00756	5	6	5	125	2	1515	5	443	35	3177	3	551	528	1970	901	668	612	764	6	421	1298	304	58	3	57	4	648	4
K00757	7	25	16	173	6	756	4	381	124	1030	9	4260	46	1328	1111	935	10	1065	417	275	2875	2270	36	8	1807	41	316	59
K00758	0	0	1	0	0	3	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
K00759	2299	7126	3506	5416	5100	3819	2781	4413	8196	4966	6450	4009	3618	3663	2990	2407	66	5244	128	3213	3961	2344	2886	1855	1592	2210	1834	2637
K00760	3230	4604	11051	17000	13337	4592	4071	7953	5160	10573	2741	7896	3945	7482	7909	5395	602	14630	367	8689	11713	6257	12632	885	5725	4042	4919	5501
K00761	381	39	67	3754	552	4639	17	6925	3089	4661	16	1678	11	2900	4881	945	3099	4194	44	4089	9579	4580	263	27	1107	5	3233	4
K00762	510	1609	6372	8780	6613	1352	21076	4910	2488	4619	1404	2200	520	2279	4392	2121	1497	11073	220	3967	4879	2540	1898	53	2558	1981	1849	2672
K00763	2439	5181	6214	5443	6801	641	4345	5661	2482	3400	2709	810	1698	2734	3368	1887	650	3343	266	5177	4028	2414	5202	960	1740	3011	1535	4822
K00764	48	16	19	1165	8	946	10	2386	464	1215	11	1868	12	740	1884	644	708	2725	108	1117	3191	1645	76	11	1439	17	692	29
K00765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
K00766	1	2	1	180	1	26	1	90	4	166	1	40	2	57	2	324	127	118	2	489	617	158	26	1	14	1	1	1
K00767	10	14	14	145	5	501	10	885	68	1225	9	6016	5	1074	1807	1726	5	3924	51	747	10398	2915	20	4	2429	2	336	2
K00768	15	23	9	340	10	625	11	1115	11	568	10	156	10	582	1195	213	713	1054	23	713	795	568	123	5	80	2	421	2
K00769	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00773	127	23	11	940	11	2417	14	1389	430	2962	8	2353	10	1473	2043	1407	1103	2409	277	1052	4324	2523	120	37	904	8	531	6
K00782	1	2	1	1	1	151	1	1	3	1	1	2	1	1	1	1	1	1	1	2	6	1	38	1	12	7	8	5
K00783	288	1396	1185	1367	1043	1897	627	1495	482	2580	654	810	455	1131	614	1561	1028	1348	45	1638	2073	1178	897	732	566	486	765	845
K00784	3478	7311	6089	8801	8122	84	4074	3292	1694	3572	3602	965	2274	3053	2184	2654	26	3199	152	7628	3336	863	5473	1468	1004	2005	1603	3437
K00788	22	23	14	1956	20	2015	16	2911	98	1335	12	837	22	1095	1389	1169	3684	2149	46	3026	4558	2477	473	19	758	8	3651	4
K00789	2749	11473	3718	7225	5821	5345	2044	22495	3251	9268	12631	7496	5375	6489	5644	5953	9306	22165	753	7091	16615	8524	2208	1338	4203	5660	3139	1661
K00790	4608	3918	4852	9097	8978	2386	4535	6553	4577	8100	3545	4669	1969	4176	4896	4355	2489	9024	468	5922	9048	4668	4611	1573	4052	3000	3529	3726
K00791	394	4181	866	1366	1208	1482	430	1240	781	2412	1619	1579	2064	1101	1059	863	15	1509	72	960	2904	1647	479	546	700	1382	721	902
K00793	19	32888	83	464	274	1219	13	1617	115	782	1706	979	10774	752	882	554	2129	1306	176	972	2220	744	187	3098	568	90	653	13088
K00794	73	13880	62	616	249	2646	16	2817	139	2257	969	4372	5084	1484	1984	1775	2841	4474	204	1881	7468	3335	193	2616	2513	113	1175	12842
K00795	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0
K00796	53	44	6283	3345	6807	522	3382	3470	79	1735	65	2240	18	1401	2362	1504	761	2390	198	2096	3881	1747	4163	44	931	195	861	63
K00797	7	8	3	509	2	826	7	1253	45	635	3	370	4	745	1161	408	1513	1143	10	1063	1707	760	131	3	496	1	901	2
K00798	65	5	5	104	4	264	4	177	16	97	6	70	4	122	9	56	168	155	19	126	271	87	793	5	12	4	10	4
K00799	0	0	0	0	2	0	0	0	3	0	0	2	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0
K00800	40	11	8	564	5	232	6	368	527	531	6	5213	2	274	975	485	205	936	121	559	2104	1287	49	7	802	3	248	5
K00805	2	7	4	41	4	44	5	81	7	41	8	39	2	79	24	17	198	75	45	105	266	70	6	8	147	5	40	5
K00806	3468	15721	7947	8871	8318	3215	3719	6770	3114	5517	9118	4227	5422	4180	3548	3933	2740	6818	390	7069	6203	3329	6351	3903	2065	3904	2461	5320
K00812	39	43	29	447	188	2076	9	1342	64	2819	9	2975	8	2245	1371	1290	8	2306	171	627	4840	2458	126	547	1022	17	560	12
K00813	1	3	2	379	4	525	3	1222	8	797	2	195	2	805	1015	343	946	1237	5	970	988	709	4	2	150	1	407	0
K00817	11	21	10	128	7	744	7	210	28	217	11	698	10	259	1261	205	279	417	61	195	925	370	104	15	530	5	1240	5
K00818	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	1	22	0	1	1	1	1
K00819	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00820	423	5339	6544	5838	10809	1582	4574	4529	1451	4031	6764	4302	3802	4447	3426	4228	2721	4644	292	8218	6863	3518	11113	1111	4670	8310	4719	14350
K00821	0	12	3	1	1	75	1	2	187	112	0	121	0	423	41	0	0	0	0	0	26	14	0	0	0	0	76	1
K00824	2	1	1	1	1	2	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	97	1	1	1	1	1
K00826	287	27	38	1970	14	1010	12	8355	7203	1106	11	2740	12	591	2847	1973	167	4970	194	1564	10277	4224	271	20	2961	30	314	26
K00831	26	75	78	669	20	1710	25	670	809	1060	18	20887	27	5630	6468	4069	338	5486	250	1917	17168	7519	259	28	1043	5	1349	2
K00832	3	4	4	297	2	569	2	725	2	327	2	169	3	199	378	179	1068	468	3	438	1068	380	100	2	79	1	204	2
K00833	4	4	3	492	2	269	3	1476	9	1119	3	228	2	913	655	628	959	1910	7	1166	1421	1408	79	4	598	2	580	1
K00835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0
K00839	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00840	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
K00841	51	9806	2601	2292	1544	1047	1093	1442	62	2565	4459	94	2374	2003	617	1303	9	1473	75	1442	475	117	1643	18	277	4574	1882	4764
K00844	4	3	2	450	1	43	2	501	2	294	1	100	1	188	1	161	642	487	1	652	603	326	2	1	118	0	0	0
K00845	177	18	17	5	14	53	3	222	1715	193	24	49	20	88	880	55	10	230	305	466	1502	393	43	22	32	9	86	17
K00847	3730	873	139	1932	654	639	297	3525	2784	1388	382	3723	389	822	2129	1337	30	3402	39	1519	5378	3744	266	982	1674	442	398	669
K00848	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	3	0	3	1	0	0	1	0	0
K00849	1945	1534	71	99	177	360	227	284	1377	1331	261	1556	343	260	1141	839	6	1138	55	193	5458	643	248	120	337	201	525	384
K00850	35407	93375	52478	40826	70123	10449	38730	26917	55818	31052	41156	29758	31296	49532	18860	24593	1067	30179	2772	57200	38840	11166	65298	21072	20884	33456	30578	47644
K00851	1093	2541	56	328	31	81	61	792	635	332	1711	97	1004	355	92	233	769	562	3	571	876	448	259	10	114	824	120	995
K00852	27868	21089	3767	3625	6516	7548	1880	3008	3662	7488	3663	874	6794	7481	2706	1581	78	2970	50	3244	3884	1630	3555	492	819	2853	4798	5443
K00853	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
K00854	32	1	2	2	1	8	2	12	2	65	1	15	1	3	28	2	1	16	1	4	250	5	1	2	3	2	46	2
K00855	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
K00857	2021	6325	2875	2632	3300	668	2123	1487	2187	2432	2569	924	2235	2025	1057	1488	18	1856	214	2248	1408	575	3173	1689	1056	1423	1058	2710
K00858	1322	1326	4214	4384	6738	876	2748	3453	2117	2249	683	988	494	2420	2310	1702	752	2734	127	2626	2538	1302	4145	1987	1097	1939	1317	1854
K00859	2046	2639	5042	5041	5241	2051	2294	4780	1265	3830	908	1682	748	3018	3014	2797	2726	3813	98	5074	5094	2516	4435	857	1235	1058	1661	1513
K00860	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00861	33	1	0	0	0	7	0	104	2	43	0	1	0	9	20	19	0	318	0	8	9	0	1	1	0	0	0	0
K00864	29	231	62	586	1243	607	472	2637	43	203	81	2034	204	496	1890	1091	842	1155	71	6738	4037	303	15145	1207	929	36	4739	592
K00865	530	740	56	17	158	202	74	32	352	270	195	461	328	712	204	131	8	150	75	46	451	145	88	212	45	135	82	176
K00867	4372	2353	8387	7747	11500	29	6987	3196	5688	3409	1139	24	821	2438	2266	2303	34	2047	43	4541	1561	426	4872	759	1284	902	1457	1369
K00868	1209	12741	929	652	418	198	296	803	860	773	5633	2151	4252	271	1121	1253	1577	1764	18	1091	2509	1415	981	12	692	2289	864	2564
K00869	561	965	2183	1746	2495	498	744	1056	11720	1069	634	308	340	743	1094	352	15	595	54	1356	1049	841	2180	537	295	772	606	547
K00872	391	881	53	517	24	609	27	975	577	511	689	218	298	562	1679	265	619	676	71	641	762	605	102	7	368	262	633	285
K00873	18103	104183	53815	50989	63692	11703	33207	33930	40289	39131	43755	14188	35111	34852	26123	25264	780	30817	1478	62834	39107	18406	62927	18306	30529	36023	31571	42899
K00874	1	7	1	2	3	22	2	21	2	464	1	25	1	297	56	35	58	17	165	20	117	21	5	2	14	3	384	6
K00876	484	608	1039	1344	1403	2006	654	1780	453	3520	275	2605	372	1816	2061	1935	12	2469	189	1311	2924	1176	1002	636	977	820	1498	2334
K00878	53	12	10	1511	6	738	5	1362	1871	889	6	465	4	646	1027	292	1070	3076	18	1253	1626	1415	35	6	262	3	1447	3
K00879	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
K00880	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	2	0	1	0	0	0	0	0	0	1
K00881	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K00882	32332	5122	3568	8025	4568	457	3042	5610	4436	3043	1726	1311	2508	3824	2841	7031	87	2136	114	10771	2138	875	6874	1264	511	2648	1825	4183
K00884	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
K00886	489	37	67	10405	23	870	17	9894	6193	2815	20	7416	19	2815	8310	2772	16	8526	40	9591	20585	12100	310	27	5763	5	6731	7
K00891	13	33	14	958	11	734	7	1502	123	2970	7	2596	11	733	1325	1515	1868	2391	112	2431	4550	2722	130	13	615	5	209	5
K00892	0	0	0	0	0	5	0	1	1	6	0	100	1	56	1	2	0	4	0	0	6	2	0	0	0	0	0	0
K00895	0	0	0	0	0	4	0	1	0	1	0	4	0	2	0	0	0	2	0	1	0	0	1	0	0	0	0	0
K00901	21	7	13	3	5	5	3	4	19	15	13	11	3	22	5	4	3	3	71	4	5	5	4	16	3	3	4	3
K00903	9585	569	166	7	175	8	6	5	18	9	710	4	181	4	11	10	5	4	7	7	14	3	159	28	38	141	54	533
K00906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
K00912	3	8	5	45	3	564	3	125	22	320	4	1208	4	214	462	360	9	795	73	131	1098	466	130	4	1368	3	125	2
K00917	3	13	1	2	22	31	36	1	423	40	1	16	1	48	5	12	14	5	10	3	24	3	4	13	25	24	17	23
K00919	23	8	14	753	11	706	7	1539	28	910	14	670	5	547	575	590	1540	1595	99	1195	1634	1014	18	14	258	8	276	7
K00925	4330	9796	4463	9253	6901	7998	2375	12363	4054	11126	5374	11052	4298	10249	9547	6211	9335	10991	1152	11212	28104	16330	9045	4315	6998	7404	9626	5550
K00926	26	4584	1172	2573	16302	8719	45	777	180	9461	56	1876	30	14842	1807	1686	51	1871	1051	682	2955	312	1437	9565	125	1932	4104	7005
K00927	17294	34683	38486	39256	45818	14426	23742	30202	27384	42081	15419	21968	12232	46500	21818	18503	892	31447	1607	37930	39436	13033	72028	16169	25012	10140	31029	6721
K00928	1911	1946	133	2719	73	3704	103	7985	1474	6548	904	4012	452	3249	3587	2691	5115	7331	209	3964	9654	5261	260	29	2948	985	2490	1443
K00929	0	0	0	0	0	1	0	0	0	1	1	0	1805	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0
K00930	1	2	2	1	1	27	1	3	51	34	1	47	2	191	11	1	1	1	4	1	19	4	15	1	3	1	44	1
K00931	89	8	12	424	3	449	4	618	697	301	11	283	3	351	913	218	878	446	85	451	923	501	87	16	242	4	163	3
K00932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0
K00936	16	8	15	448	11	119	4	584	35	284	19	134	4	226	19	148	674	430	30	586	472	330	15	18	73	6	15	6
K00937	222	21	29	1765	10	607	10	2686	3315	863	12	1725	5	718	3328	512	869	1848	43	1721	5033	3820	172	25	715	21	494	29
K00938	1630	1861	2667	2272	3411	21	1397	1633	1295	1112	1328	19	844	914	495	764	17	629	87	1410	638	112	2779	662	367	1544	658	1548
K00939	31725	42458	42402	72725	67003	12320	28776	45201	27627	41256	39848	21875	15634	32354	27239	27934	9200	26895	1424	40356	45377	18412	54966	21329	33149	16639	35624	10052
K00940	17	3496	872	375	632	79	5	109	71	215	8	190	1328	148	230	147	69	305	384	26	419	174	485	1799	367	219	145	106
K00941	515	21115	169	1244	929	1247	225	1610	1303	1416	618	601	2935	937	1686	532	1856	1663	196	1718	2214	1634	779	3006	337	1471	745	2109
K00942	8143	16842	8916	8608	13426	5679	5294	8240	8334	7834	8999	3991	7160	6527	5198	4952	2968	7170	376	7525	9038	4245	7131	3827	3203	5558	3690	7129
K00943	2065	7283	3739	4843	4445	1063	2262	3754	2922	3248	3463	426	2699	2059	1420	1361	21	3462	142	3063	1571	750	3938	1003	592	2805	1556	2577
K00945	4592	10276	4328	4897	6045	1135	2653	2475	5914	3365	5536	1755	3783	2124	2444	2385	1419	4053	165	3282	2971	1299	3260	2555	1028	5956	1336	7246
K00946	7	13	7	382	7	958	7	809	32	897	5	1360	6	632	1457	1030	813	1915	78	712	2801	1468	69	5	1819	2	661	3
K00948	4536	21559	15389	17083	17822	6150	7769	15231	11037	17463	9370	11200	7093	13296	10720	10983	2857	17875	545	13569	17453	9255	16484	2067	10512	20248	10022	29413
K00949	1016	3455	2924	4399	3155	509	2084	5694	1202	1845	2389	2751	1258	1852	2215	1661	15	1785	80	4597	4581	2431	2901	681	802	1242	1094	1276
K00950	28	30	9786	3676	13222	1421	5493	4169	52	2627	98	773	18	1806	2199	1172	2081	2704	101	3671	2695	1514	4625	37	983	255	1384	126
K00951	3535	4029	311	2734	984	1864	430	4553	3988	2157	2043	1735	1835	1545	2418	1372	2099	3611	141	2877	5055	3247	491	2052	1421	1203	978	1718
K00954	1176	4238	1673	8074	2207	5747	1709	14101	1852	9610	2528	9493	1220	6511	6967	3842	12874	11075	213	11405	13765	9743	1878	749	1742	1260	2485	1345
K00956	0	0	0	0	0	1	0	0	0	0	0	3	0	3	0	0	0	0	0	1	0	0	1	1	0	0	0	0
K00957	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K00962	255	88	56	2176	30	6903	34	4456	1838	7212	27	15065	42	4000	5403	4834	2948	12324	514	3758	20306	10889	257	31	7581	9	2390	8
K00963	7227	10786	7477	8621	9190	472	3590	6006	5558	4074	6789	853	3771	3641	3268	2794	53	4840	82	6753	3805	2509	6909	4100	828	4444	1905	4612
K00965	3694	1620	84	15	216	43	399	59	2700	121	350	24	367	67	321	11	5	107	11	189	650	128	227	157	14	264	469	443
K00966	1	5	4	48	2	42	2	143	23	170	1	930	1	21	175	256	3	457	101	79	826	518	13	3	563	2	73	1
K00969	3237	3453	3072	3545	3646	620	2265	3386	2486	2174	2384	749	1418	2217	2711	2162	929	3227	117	3179	2409	1145	4047	407	1015	1806	1159	2085
K00970	91	12	23	814	12	6926	12	1540	1137	953	5	3197	7	2079	1620	429	14	2718	25	640	1433	869	65	8	373	3	500	2
K00971	5	15	8	191	6	758	5	343	66	1488	5	2190	5	694	935	908	5	1344	220	191	3300	1225	36	4	786	2	457	2
K00973	1016	15	11	150	32	160	8	180	905	526	8	3727	6	547	684	874	24	917	386	226	3017	1273	80	152	429	15	195	12
K00974	3180	1881	1756	1839	1578	475	844	2585	845	1439	1227	1841	855	989	505	1447	2037	3113	166	1631	3533	1628	1381	657	866	701	537	705
K00975	8	12	4	5	3	417	6	21	16	511	6	65	3	323	73	81	61	77	84	22	93	25	20	3	33	14	258	20
K00978	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00979	3	4	6	213	4	430	4	540	19	318	2	1218	6	939	557	405	506	1061	57	410	1567	859	102	3	651	4	300	3
K00980	352	3	1	1	24	105	65	73	484	84	1	31	3	18	3	3	1	1	1	26	1	15	2	23	46	3	1	1
K00981	5247	8264	7155	7444	8497	1259	3808	4412	4006	4010	5399	4172	2975	2689	3715	3484	1205	4718	346	6009	8723	3799	5652	3843	3630	3928	2475	4810
K00982	168	3	3	118	5	13	21	159	382	39	1	55	0	26	151	52	2	138	7	127	361	211	3	3	47	1	12	0
K00983	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	47	0	0	0	3	0	0	0	0	0
K00984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
K00989	147	8	16	1713	4	1122	5	2087	1045	2051	7	779	8	825	1539	653	5	959	10	918	2352	1808	94	8	796	4	371	4
K00990	0	0	0	0	0	2	0	0	1	1	0	2	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
K00991	7	12	8	158	6	544	15	506	46	1285	11	4934	6	1449	1198	977	27	1935	264	392	4808	2335	146	9	1879	5	189	8
K00995	4150	5322	2882	2425	3345	1500	148004	33860	3928	1126	5527	2241	2331	100500	20988	26994	317	3715	1000	311252	54907	4812	151047	4429	837	11458	2325	12193
K00996	3690	6043	357	14	9	4	94	11	12	16	2385	2	672	14	6	6	5	7	55	4	3	7	182	39	11	466	375	3797
K00997	2620	5090	6405	7430	9156	1773	3644	4651	3744	5621	2668	369	2470	3400	3187	1940	497	2181	178	3940	2761	1038	4895	2656	783	2514	997	2750
K00998	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	1	0	0	1	1	0
K01000	3067	1964	4231	8657	6990	1110	3699	6485	4246	4559	1582	3119	650	3646	4338	3746	730	5013	253	6898	7071	3506	5608	2288	2621	1035	1617	1488
K01002	2	6	3	199	3	324	3	690	8	246	5	92	3	259	337	186	663	569	8	426	663	331	82	2	288	1	154	1
K01006	34	71	27	166	20	1547	27	316	107	2312	21	12074	39	4378	1085	1546	177	2394	537	554	7088	3167	82	18	1999	8	360	6
K01007	10	1273	326	860	1473	1028	7	1452	78	971	420	455	292	1192	1753	394	1745	1035	18	1305	1818	827	4779	596	691	207	725	363
K01008	0	0	0	1	2	1	0	2	4	4	0	1	0	1	0	0	2	1	0	3	1	1	1	0	0	0	0	0
K01011	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
K01012	4	15	5	517	6	578	7	949	23	503	5	174	12	660	976	282	1048	760	10	803	833	576	230	4	142	3	590	4
K01034	0	2	1	2	2	712	1	4	0	1	0	37	1	5	1	2	1	1	0	1	40	1	7	0	2	1	1	1
K01035	0	1	2	1	1	341	2	4	2	3	0	43	1	1	2	1	1	1	0	2	36	1	9	2	3	1	1	1
K01042	0	2	1	1	1	7	1	7	0	7	0	9	9	5	1	6	1	5	0	3	6	6	2	1	1	1	1	1
K01043	2	0	2	2	0	4	2	15	2	12	2	135	1	9	24	71	1	110	14	24	240	82	6	1	88	0	12	0
K01046	4	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
K01048	0	0	1	0	0	2	0	0	0	0	0	0	1	1	0	0	0	1	8	0	0	0	0	0	0	0	0	0
K01051	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
K01056	693	2907	3819	5416	4267	2334	1370	4449	1634	3898	1483	3367	1497	3483	2188	2214	4093	4011	99	3931	7787	4303	1823	1096	1973	2177	1741	2200
K01057	30	3	5	389	4	45	2	406	203	266	2	209	3	112	452	57	4	653	6	239	1005	591	108	2	156	2	21	2
K01058	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
K01060	3	305	1	68	2	4	3	3	1	2	2718	6	3416	5	2	1	1	2	11	5	3	1	2683	1	3	1839	5	982
K01066	15	1	4	1	27	4	2	1	15	1	10	1	1	5	1	1	1	1	1	1	1	1	1	14	1	1	1	1
K01069	5	2	1	3	1	11	1	1	6	18	1	21	1	20	3	3	1	2	1	1	2	3	2	1	3	1	2	1
K01070	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01077	0	2	1	84	2	103	0	8	17	71	0	84	0	38	40	1	2	70	37	5	46	4	6	2	2	0	12	0
K01079	49	3	10	406	1	57	1	425	354	50	2	71	1	95	232	35	2	165	18	202	301	217	12	3	93	2	28	1
K01081	11	22	13	106	6	1833	8	378	35	1777	5	4619	6	640	1404	931	4	2376	191	439	5387	1950	46	5	1352	1	399	1
K01082	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01087	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01089	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
K01090	2262	5982	7555	10650	9516	1128	4975	9380	4250	5262	2851	1465	2015	4632	5438	5007	4376	6050	266	9782	7202	4383	5862	971	1469	3856	2335	5052
K01091	765	38	45	1706	48	3199	80	3566	801	2411	23	1106	17	2255	2839	1358	2646	3125	100	1946	3802	2435	283	32	1336	22	1993	24
K01093	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
K01095	0	0	0	2	0	71	0	3	2	0	0	1	0	5	7	5	0	4	0	4	9	2	2	0	1	1	1	1
K01096	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01104	11786	3165	585	439	1046	682	346	881	2221	496	2058	1638	1177	516	756	703	34	1193	296	496	1883	1090	1375	1768	441	1088	338	2747
K01112	1	1	0	0	0	209	0	3	23	26	0	70	0	103	4	7	0	133	0	2	34	5	0	0	2	1	61	1
K01118	38	1	1	1	1	2	2	12	1	5	1	14	1	5	10	14	1	9	110	2	59	12	1	1	1	1	1	1
K01119	2	4	3	91	2	151	2	104	11	268	2	1918	3	60	317	487	1	756	122	100	1322	757	15	2	714	1	84	2
