	001A	001B	002B	003A	004B	006A	006B	008A	008B	009A	009B	010A	010B	012A	012B	013A	013B	014B	015B	016B	017B	018B	019A	020B	27S	30S	31S	4S
K03764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0
K03767	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	89	1	0	0	1	0	0	0	0	0
K03768	49	88	79	1856	91	914	61	2816	97	1273	48	651	95	971	865	1150	2877	1980	318	2364	2509	1867	470	47	368	19	216	20
K03769	5	20	13	3	2	59	3	27	39	109	2	86	14	96	22	38	27	44	2	5	17	18	8	5	7	2	8	2
K03770	1	1	0	33	1	659	0	3	4	48	0	242	2	407	33	35	1	266	85	6	39	25	8	1	8	0	23	0
K03771	3	2	4	3	5	3451	5	39	6	2033	1	764	3	1141	137	422	2	764	2	49	342	48	4	2	17	1	696	1
K03772	7	12	8	232	8	649	6	735	5	733	3	8404	10	905	1196	3404	7	3839	601	414	5785	3149	62	3	1266	1	114	1
K03773	14	23	36	119	7	1853	15	1321	133	2225	13	13696	16	358	3059	3317	19	5779	233	1220	14498	7665	43	8	5700	7	550	6
K03774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
K03775	10	14	14	10	7	472	9	789	51	1167	4	4999	5	368	2080	1574	7	3711	9	421	6172	2618	7	6	660	2	139	2
K03776	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0
K03777	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
K03778	7675	53117	2082	367	7370	1767	2581	476	12584	6450	19111	11326	17773	6868	582	1960	215	1128	70	410	2045	699	1966	11398	1204	59993	5239	75127
K03781	3	1	1	1	1	10	1	1	4	3	1	11	1	7	1	1	1	10	1	1	3	1	328	1	1	1	1	1
K03782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
K03783	5	19	15	117	6	854	6	266	58	545	9	2170	433	393	832	828	10	1233	284	177	3452	1076	22	5	996	4	135	3
K03784	14	15	7	1308	5	2626	11	3192	39	5217	6	1482	32	2638	1493	2772	2466	3470	139	2434	5544	2153	28	12	745	11	782	13
K03785	305	18	13	39	193	29	163	146	702	37	2	9	3	61	103	24	176	37	139	37	79	48	36	189	10	13	24	13
K03786	33	12	29	378	16	185	9	645	221	504	13	2137	16	105	602	620	19	1051	64	301	1785	1022	33	11	360	5	96	5
K03787	6	10	11	560	5	752	8	870	16	675	3	778	3	454	544	405	1493	970	64	828	1963	672	41	4	520	4	326	3
K03788	4	1	1	1	1	832	8	46	4	2912	2	885	1	638	292	1556	1	667	71	198	1753	241	5	4	92	1	283	1
